light presence action
42.5 0.1 0
45 0.2 0
43.0380618819015 0.1 0
42.8929560559315 0.1 0
43.3579868035803 0.0985010915668681 0
43.6778632792723 0.0793123407755047 0
43.8680718216104 0.164157292759046 0
43.333 0.0712580208433792 0
47.5 0.301789483404718 0
45.9001408982181 0.4 0
46.7069111926931 0.352424186724238 0
47.5 0.316828758898191 0
47.5 0.303525753621943 0
46.2458057486219 0.349832229944877 0
44.2058348891409 0.3 0
44.3479376541264 0.221721206977963 0
44.970962041049 0.3 0
44.3905586781192 0.3 0
44.6615396427955 0.259368504537269 0
45 0.252149217831902 0
50.4759304705556 0.140832003066316 0
48.5679407443693 0.0535164353437722 0
51.6410792170204 0.100888611003757 0
47.9574374711169 0.278044757805765 0
48.9725895853955 0.192369229160249 0
48.7512550829556 0.239944560453296 0
47.1982269833097 0.3 0
46.1977002987242 0.3 0
47.4381974330051 0.3 0
45.4808294126997 0.219233176507987 0
47.5 0.333610923332162 0
46.7962263547815 0.271849054191262 0
47.0594804898419 0.1528517708648 0
47.0243851464037 0.157062369957566 0
47.1336682934016 0.110991050302982 0
44.8507410711241 0.179485716437921 0
46.7006928863605 0.123981611570343 0
47.3986257510095 0.11216247738339 0
43.7772871401673 0.4 0
44.089260422383 0.4 0
43.9461906789071 0.373524062219076 0
43.7231351082185 0.4 0
44.167 0.346637911978178 0
43.5009892489379 0.4 0
44.4200807012543 0.660899368301034 0
44.8475127157266 0.645082610705867 0
47.112711619897 0.539395937649533 0
45.833 0.795277206343599 0
43.9233559282888 0.541685422789306 0
44.6232917852625 0.709670028463006 0
42.1157925831962 0.246123339352198 0
41.9749800730811 0.263027602271177 0
42.7321233363047 0.227865946735255 0
42.5 0.169936887524091 0
42.7624567201959 0.231507409387268 0
42.5411911318521 0.204944913787767 0
43.8585526339076 0.126031806692481 0
43.333 0.0359779492253438 0
42.5924757846873 0.0888984652236104 0
43.3540878629996 0.00505704148672521 0
43.1407142785485 0.0461670399643481 0
44.0427233822192 0 0
45.7371242889662 0.3 0
45.2204450803932 0.226463995245285 0
46.2629762029103 0.3 0
47.008998637486 0.3 0
44.9780667408984 0.3 0
45.0731468895639 0.3 0
44.1009542460125 0.3 0
43.2930132211545 0.295199666405097 0
43.2178568115265 0.286177288298495 0
42.6467621794671 0.217618508939631 0
43.333 0.311104193865322 0
43.333 0.3 0
41.0956832347438 0.128086335305125 0
37.6702673556726 0.2 0
37.6778759761553 0.204268681933172 0
39.4455789588392 0.161088420823216 0
40.8483419688439 0.280353778949939 0
38.0340632796288 0.22136253118515 0
38.2532118074575 0.2 0
38.5088846633364 0.205275484803133 0
40.105706882515 0.253170572360978 0
37.8767620208513 0.2 0
39.1881145944819 0.225648308172822 0
42.1204671624058 0.2 0
42.6951520016307 0.223427611240186 0
44.0200773937944 0.3 0
43.333 0.338061534846202 0
43.1926927835806 0.283156396588311 0
43.333 0.3 0
43.9861812966173 0.3 0
44.167 0.294122787564993 0
44.167 0.265154756512493 0
44.6739357350862 0.2 0
43.5566715058354 0.273180874600075 0
44.9824953790701 0.2 0
44.167 0.275404810346663 0
43.909340644638 0.3 0
43.4902940402399 0.3 0
43.3979784099422 0.3 0
44.167 0.248508118512109 0
44.026771044489 0.3 0
43.879192411995 0.3 0
42.1465228198429 0.357565764687024 0
43.2626757092755 0.395778854098171 0
42.021090982093 0.3 0
42.1321015392109 0.327917259256355 0
43.2986029082215 0.397935348632745 0
43.2905322788483 0.3 0
42.5689181475074 0.391726512904279 0
43.1143301251689 0.326250885333866 0
42.5177386815541 0.4 0
42.9571462091645 0.345120503101498 0
42.0813153833603 0.349737741099671 0
43.3211781444622 0.4 0
43.333 0.314553357590921 0
43.2310949283508 0.4 0
43.333 0.302791447821073 0
43.333 0.371243537729606 0
43.333 0.383245509769768 0
43.333 0.329677358525805 0
43.7970105523469 0.0721649338724092 0
44.0376301876409 0 0
44.7216636036362 0.0166968444129452 0
45 0.180633940780535 0
42.9578189889435 0.0816872404422611 0
43.6684339972124 0.0798779845703393 0
43.928591379032 0.3 0
44.167 0.3 0
44.167 0.3 0
44.167 0.3 0
44.167 0.254664697358385 0
44.167 0.3 0
43.0139999316265 0.0382953263353556 0
43.0754360259743 0.0769825589610264 0
43.8441086078449 0.180630390392616 0
42.5808016895407 0.1 0
42.8787225731369 0.1 0
42.9619722355728 0.12771279157605 0
44.994205667227 0.2 0
44.5204601424136 0.257567810034379 0
44.5479623338268 0.254266226431355 0
44.5648529408358 0.252238542516716 0
45.7756672893874 0.293117321655154 0
45.6903145260343 0.282870891480707 0
